"T","U:0","U:1","U:2","kappaEff","p_rgh","rhok","Points:0","Points:1","Points:2"
307.99,0.021282,-0.0054077,0.013747,1,0.60882,1,2.5,0.2,0.7
308.12,0.029869,-0.0030279,0.0039011,1,0.80992,1,2.4875,0.2,0.7
307.71,0.042267,-0.006912,0.022733,1,0.64483,1,2.5,0.21212,0.7
307.9,0.043118,-0.0040058,0.0059221,1,0.81713,1,2.4875,0.21212,0.7
308.19,0.040599,-0.013841,0.014055,1,0.65188,1,2.5,0.2,0.68846
308.27,0.043188,-0.0048449,0.005373,1,0.81436,1,2.4875,0.2,0.68846
308.41,0.056512,-0.02151,0.01259,1,0.65937,1,2.5,0.2,0.67692
308.54,0.064049,-0.0077103,0.007103,1,0.82368,1,2.4875,0.2,0.67692
308.62,0.066793,-0.026924,0.010184,1,0.66375,1,2.5,0.2,0.66539
308.76,0.076449,-0.0095014,0.0069163,1,0.8326,1,2.4875,0.2,0.66539
308.8,0.0733,-0.030273,0.0073549,1,0.665,1,2.5,0.2,0.65385
308.95,0.084522,-0.010817,0.0056838,1,0.83978,1,2.4875,0.2,0.65385
308.97,0.076166,-0.031013,0.004763,1,0.66388,1,2.5,0.2,0.64231
309.12,0.089736,-0.011832,0.0039395,1,0.84499,1,2.4875,0.2,0.64231
309.12,0.07703,-0.030777,0.0019284,1,0.66409,1,2.5,0.2,0.63077
309.26,0.092173,-0.01235,0.0018192,1,0.84826,1,2.4875,0.2,0.63077
309.21,0.077878,-0.031842,-0.00083966,1,0.66826,1,2.5,0.2,0.61923
309.38,0.091559,-0.012132,-0.00038312,1,0.84963,1,2.4875,0.2,0.61923
309.28,0.07687,-0.032105,-0.0032848,1,0.6736,1,2.5,0.2,0.60769
309.48,0.088371,-0.011425,-0.0023865,1,0.84886,1,2.4875,0.2,0.60769
309.35,0.072477,-0.029993,-0.0059542,1,0.67756,1,2.5,0.2,0.59615
309.56,0.08283,-0.010454,-0.0041478,1,0.84598,1,2.4875,0.2,0.59615
309.42,0.065062,-0.026165,-0.0084417,1,0.68025,1,2.5,0.2,0.58461
309.62,0.074348,-0.0091363,-0.0054361,1,0.84122,1,2.4875,0.2,0.58461
309.46,0.054176,-0.020619,-0.010366,1,0.68156,1,2.5,0.2,0.57308
309.65,0.061615,-0.007325,-0.005812,1,0.83458,1,2.4875,0.2,0.57308
309.48,0.03816,-0.013164,-0.011312,1,0.68083,1,2.5,0.2,0.56154
309.66,0.040979,-0.0045392,-0.0045041,1,0.82673,1,2.4875,0.2,0.56154
309.48,0.019712,-0.0054114,-0.010251,1,0.65175,1,2.5,0.2,0.55
309.65,0.027999,-0.0028044,-0.0033118,1,0.82272,1,2.4875,0.2,0.55
309.27,0.039289,-0.0064471,-0.018642,1,0.67978,1,2.5,0.21212,0.55
309.49,0.040752,-0.0036479,-0.0051519,1,0.82888,1,2.4875,0.21212,0.55
307.35,0.060345,-0.0053001,0.031924,1,0.64643,1,2.5,0.22424,0.7
307.49,0.064317,-0.0048235,0.0091376,1,0.82979,1,2.4875,0.22424,0.7
308.99,0.056604,-0.0046368,-0.027161,1,0.67885,1,2.5,0.22424,0.55
309.18,0.061319,-0.0042941,-0.0081296,1,0.83974,1,2.4875,0.22424,0.55
307.02,0.073284,-0.0030481,0.038917,1,0.64348,1,2.5,0.23636,0.7
307.13,0.077946,-0.0040572,0.011226,1,0.83878,1,2.4875,0.23636,0.7
308.71,0.069261,-0.0021823,-0.033808,1,0.67391,1,2.5,0.23636,0.55
308.88,0.074796,-0.0034729,-0.010143,1,0.84746,1,2.4875,0.23636,0.55
306.69,0.083271,-0.00068481,0.04434,1,0.63788,1,2.5,0.24848,0.7
306.78,0.087985,-0.0027112,0.012828,1,0.84463,1,2.4875,0.24848,0.7
308.43,0.079197,0.00040367,-0.039081,1,0.66656,1,2.5,0.24848,0.55
308.59,0.084862,-0.0020929,-0.011732,1,0.8524,1,2.4875,0.24848,0.55
306.37,0.091231,0.0015202,0.048617,1,0.63129,1,2.5,0.26061,0.7
306.44,0.095815,-0.0012008,0.014103,1,0.84828,1,2.4875,0.26061,0.7
308.14,0.087239,0.0028495,-0.043351,1,0.65832,1,2.5,0.26061,0.55
308.29,0.092809,-0.00054702,-0.013027,1,0.85536,1,2.4875,0.26061,0.55
306.06,0.097668,0.003545,0.052014,1,0.62435,1,2.5,0.27273,0.7
306.12,0.10209,0.00031937,0.015126,1,0.85015,1,2.4875,0.27273,0.7
307.86,0.093847,0.0051269,-0.046852,1,0.64977,1,2.5,0.27273,0.55
307.99,0.099253,0.0010159,-0.014094,1,0.85672,1,2.4875,0.27273,0.55
305.75,0.1029,0.0053943,0.054716,1,0.61738,1,2.5,0.28485,0.7
305.8,0.10718,0.0017767,0.015949,1,0.85058,1,2.4875,0.28485,0.7
307.56,0.09932,0.0072388,-0.049751,1,0.6412,1,2.5,0.28485,0.55
307.69,0.10455,0.0025254,-0.014979,1,0.85678,1,2.4875,0.28485,0.55
305.44,0.10718,0.0070898,0.056857,1,0.61054,1,2.5,0.29697,0.7
305.48,0.11134,0.0031451,0.016611,1,0.84986,1,2.4875,0.29697,0.7
